OperatorID;Room1;Room2;TravelTime
22;044A04DK 5;044A04DK 6;6
22;044A04DK 6;044A04DK 7;7
22;044A04DK 7;044A04DK 8;7
22;044A04DK 8;044A04DK 9;7
22;044A04DK 9;094A01DK 9;11
22;094A01DK 9;094A08DK 9;26
22;094A08DK 9;094A02DK 9;13
22;094A02DK 9;093A02DK 9;32
22;093A02DK 9;032A14DK 9;16
22;032A14DK 9;032A14DK 8;9
22;032A14DK 8;032A14DK 7;10
22;032A14DK 7;032A14DK 6;9
22;032A14DK 6;032A14DK 5;9
22;032A14DK 5;032A14DK 4;14
22;032A14DK 4;032A14DK 5;14
22;032A14DK 5;032A14DK 6;9
22;032A14DK 6;062A01DK 6;16
22;062A01DK 6;061A21DK 6;21
23;034A04DK 4;044A05DK 4;9
23;044A05DK 4;044A04DK 4;5
23;044A04DK 4;044A04DK 5;5
23;044A04DK 5;044A04DK 6;6
23;044A04DK 6;054A04DK 6;12
23;054A04DK 6;053A02DK 6;33
23;053A02DK 6;032A14DK 6;16
23;032A14DK 6;062A01DK 6;16
23;062A01DK 6;061A21DK 6;21
24;034A04DK 4;044A05DK 4;9
24;044A05DK 4;014A02DK 4;7
24;014A02DK 4;014A02DK 3;15
24;014A02DK 3;034A02DK 3;8
24;034A02DK 3;014A02DK 3;8
24;014A02DK 3;014A02DK 4;15
24;014A02DK 4;044A05DK 4;7
24;044A05DK 4;044A04DK 4;5
24;044A04DK 4;044A04DK 5;5
24;044A04DK 5;044A04DK 6;6
24;044A04DK 6;044A04DK 7;7
24;044A04DK 7;044A04DK 8;7
24;044A04DK 8;044A04DK 9;7
24;044A04DK 9;044A04DK 10;6
24;044A04DK 10;044A04DK 11;6
24;044A04DK 11;044A04DK 12;6
24;044A04DK 12;044A04DK 13;6
24;044A04DK 13;044A04DK 14;6
24;044A04DK 14;044A04DK 15;6
24;044A04DK 15;044A04DK 16;6
24;044A04DK 16;164A12DK 16;3
24;164A12DK 16;164A09DK 16;5
24;164A09DK 16;164A12DK 16;5
